name,status,signature,read_error
2019-09-28_08-45-09__eveTxSPNhKDwLry0YdSiJZiqBfY4M34tNQ6vJOAX.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-09-30_23-13-20__wbtxMNB6sNlWm1vlEzrayYjFStZQj2BPt5hDTVkn.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-02_09-54-06__hkaerKf8WF2sMlSUdwErLOsmS6MnCOBBsmakkCvx.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-03_09-00-38__qqAcZ9bOCcxRpx8VXBQFtHrJpbPfOhP4d2B2979V.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-03_19-51-16__vRQLL7oq4iyLH0dO5Gr3al3cmtgmiKC5tEna3nad.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-05_08-02-30__F1LJj0eLao7nFz1WzpfBklpybsRsa4I5x2nZsG7u.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-08_08-18-43__7pLhavpGLEBUHnnjAfmKxITU2RApDt2wV9e3g54w.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-08_19-36-32__UjMxAZeS8g77vdtE5P0gFKsTtIkJ5vkT4xFLyIou.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-08_19-37-10__wvTv8Sl8SfJLrWfgheISw4c49lMxsOjHZYd2mMQN.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-09_21-35-33__xIj0xNlJuEdKXZ4f7nwqq5qNFbec2Pm7vkNAyl9K.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-11_09-08-14__4KLDJci89Ouqa3AxvfaAkdVd6ermzmDY9s5PPcaF.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-12_08-13-09__3lmfLsa7aWc3yxVojXm2q2ZfcjtAIQEAOW8bpFZf.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-10-14_08-48-58__r7oJpgXAW57AAIkVM4i91MLCMMMEqdpmkAA1YFWs.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-14_08-49-28__05sUTMEn7WLdq7h0hEXxxCjccktFswpEeDMRrqxx.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-15_08-08-53__PjWpsmxKRc99ndB037G4S3L7I8MV2o1S2FiGCYUf.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-16_08-50-57__URreaXDJQeoYP3zHu1OQHboqOHYoVBD99Jo6QcOP.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-17_09-05-44__p4L1v0VEDOPXEOXFADCnZmy0gECcC5LdZ8f42rAp.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-10-18_08-43-34__7mzIkK3EwXAhIld4Q51l0AWtonciwWNrEyib9V1y.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-19_09-13-14__WiFbgx12H1A5S5WeYyG4Bw3WADCNCVJCw0YIy0rR.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-22_09-06-36__ngws8YrR6et3ecFDxO7UGEPvvJry3N4D3JkVjdPo.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
